#{"t_start": 1651051715.872973, "env_id": null}
r,l,t
-270.238114,197,0.126351
-70.45687,41,0.149668
-450.6688,331,0.377506
-40.491495,27,0.401056
-36.059652,31,0.424587
-68.402355,33,0.449067
-651.427712,501,0.731244
-5.560864,4,0.733522
-726.74203,501,0.99392
-210.438871,246,1.139322
-417.107543,259,2.040449
-163.488867,90,2.095777
-413.139406,286,2.253394
-96.259316,102,2.311559
-686.001824,426,2.548265
-36.668556,28,2.563605
-427.858066,318,2.738643
-751.233692,501,3.011576
-119.316984,103,3.067752
-476.773689,328,4.013326
-587.949785,409,4.243478
-64.544827,34,4.261252
-347.592196,233,4.389178
-681.977659,501,4.659089
-39.70289,27,4.674886
-57.45577,33,4.693156
-302.868888,246,4.829842
-435.299536,310,5.777861
-865.254316,501,6.063542
-206.363768,158,6.158182
-696.591703,501,6.446138
-470.246127,261,6.590776
-306.453634,201,6.704873
-337.570682,362,6.912561
-463.76346,468,7.953302
-11.091099,9,7.958137
-515.656413,325,8.143822
-593.924865,343,8.328973
-764.606413,403,8.537441
-212.390134,155,8.617828
-56.783953,48,8.642774
-167.849232,127,8.709011
-923.586156,501,9.723475
-115.381516,88,9.770051
-692.61731,501,10.034998
-25.941193,18,10.044562
-725.809703,482,10.31997
-268.148157,350,10.500654
-683.383136,501,11.511595
-686.847391,501,11.769005
-616.669334,501,12.044885
-186.926686,101,12.098603
-410.428062,242,12.240204
-23.795001,13,12.247405
-117.048887,58,12.278432
-683.828573,501,13.307283
-484.983503,386,13.507191
-525.987955,432,13.73062
-66.91409,50,13.756836
-834.088138,501,14.02622
-628.605142,501,14.300635
-367.270673,344,15.233433
-633.391248,501,15.493408
-471.862407,315,15.658821
-583.168004,501,15.917828
-252.470917,156,16.00025
-788.385194,501,17.104452
-869.031968,501,17.387437
-247.755699,236,17.512748
-554.398024,501,17.775839
-436.929084,501,18.050405
-513.590731,313,19.005381
-644.785843,496,19.274933
-151.517457,161,19.374352
-709.617392,501,19.640415
-97.302595,72,19.677779
-997.274582,501,19.953038
-250.480285,217,20.845903
-103.913595,65,20.879674
-129.062583,105,20.934251
-142.373265,72,20.971557
-139.622501,78,21.012116
-31.304996,34,21.029814
-265.417721,204,21.134568
-267.426301,166,21.249965
-420.489312,313,21.423452
-395.32882,254,21.557129
-3.638601,3,21.558926
-527.730012,385,21.761692
-79.298416,44,21.784667
-853.512807,501,22.79841
-266.821066,247,22.925931
-115.728642,68,22.960809
-27.513952,23,22.973281
-743.726516,501,23.233552
-800.448276,501,23.491189
-589.245595,501,23.750347
-490.507758,308,24.65453
-909.684089,470,24.903285
-137.160766,122,24.966798
-136.215509,124,25.031685
-435.643075,258,25.170146
-64.970162,47,25.19517
-530.445917,344,25.373026
-19.239661,19,25.382997
-900.003598,501,26.395676
-88.191976,53,26.423578
-297.677491,217,26.536716
-23.977437,18,26.546375
-130.462261,97,26.596575
-225.327652,220,26.709932
-413.500658,369,26.900383
-77.250564,58,26.930496
-88.146758,56,26.95946
-536.437296,402,27.167
-5.064053,3,27.168782
